ID,X,Y,Z,Description,,,,,,,,,,
HAO:0000059,8,5,1,abdominal tergum 6,,,,,,,,80,50,10
HAO:0000060,9,5,1,abdominal tergum 7,,,,,,,,90,50,10
HAO:0000061,10,5,1,abdominal tergum 8,,,,,,,,100,50,10
HAO:0000062,11,5,1,cell space,,,,,,,,110,50,10
HAO:0000063,12,5,1,portion of cell substance,,,,,,,,120,50,10
HAO:0000064,13,5,1,single cell organism,,,,,,,,130,50,10
HAO:0000065,1,6,1,basal lamina,,,,,,,,10,60,10
HAO:0000066,2,6,1,epithelium,,,,,,,,20,60,10
HAO:0000067,3,6,1,simple cuboidal epithelium,,,,,,,,30,60,10
HAO:0000068,4,6,1,simple columnar epithelium,,,,,,,,40,60,10
HAO:0000069,5,6,1,multilaminar epithelium,,,,,,,,50,60,10
HAO:0000070,6,6,1,simple squamous epithelium,,,,,,,,60,60,10
HAO:0000071,7,6,1,atypical epithelium,,,,,,,,70,60,10
HAO:0000072,8,6,1,cavitated compound organ,,,,,,,,80,60,10
HAO:0000073,9,6,1,unilaminar epithelium,,,,,,,,90,60,10
HAO:0000074,10,6,1,solid compound organ,,,,,,,,100,60,10
HAO:0000075,11,6,1,T9,,,,,,,,110,60,10
HAO:0000076,12,6,1,abscissa,,,,,,,,120,60,10
HAO:0000077,13,6,1,epithelial cell,,,,,,,,130,60,10
HAO:0000078,1,7,1,accessory gland,,,,,,,,10,70,10
HAO:0000079,2,7,1,accessory ventral condyle,,,,,,,,20,70,10
HAO:0000080,3,7,1,acetabular carina,,,,,,,,30,70,10
HAO:0000081,4,7,1,acetabular groove,,,,,,,,40,70,10
HAO:0000082,5,7,1,acetabulum,,,,,,,,50,70,10
HAO:0000083,6,7,1,acropleural apodeme,,,,,,,,60,70,10
HAO:0000084,7,7,1,acropleural sulcus,,,,,,,,70,70,10
HAO:0000085,8,7,1,acrosternite,,,,,,,,80,70,10
HAO:0000086,9,7,1,aculea,,,,,,,,90,70,10
HAO:0000087,10,7,1,adult,,,,,,,,100,70,10
HAO:0000088,11,7,1,adult abdomen,,,,,,,,110,70,10
HAO:0000089,12,7,1,adult tagma,,,,,,,,120,70,10
HAO:0000090,13,7,1,adult thorax,,,,,,,,130,70,10
HAO:0000091,1,8,1,aedeagus,,,,,,,,10,80,10
HAO:0000092,2,8,1,alinotum,,,,,,,,20,80,10
HAO:0000093,3,8,1,anal vein,,,,,,,,30,80,10
HAO:0000094,4,8,1,anepisternum,,,,,,,,40,80,10
HAO:0000095,5,8,1,annellus,,,,,,,,50,80,10
HAO:0000096,6,8,1,annulus,,,,,,,,60,80,10
HAO:0000097,7,8,1,anteclypeus,,,,,,,,70,80,10
HAO:0000098,8,8,1,antecosta,,,,,,,,80,80,10
HAO:0000099,9,8,1,antecostal sulcus,,,,,,,,90,80,10
HAO:0000100,10,8,1,antemedian mesonotal wing process,,,,,,,,100,80,10
HAO:0000101,11,8,1,antenna,,,,,,,,110,80,10
HAO:0000102,12,8,1,antenna cleaner,,,,,,,,120,80,10
HAO:0000103,13,8,1,antennal rim,,,,,,,,130,80,10
HAO:0000104,1,9,1,antennal segment,,,,,,,,10,90,10
HAO:0000105,2,9,1,antennal shelf,,,,,,,,20,90,10
HAO:0000106,3,9,1,antennal suture,,,,,,,,30,90,10
HAO:0000107,4,9,1,antennomere,,,,,,,,40,90,10
HAO:0000108,5,9,1,posterior cranio-mandibular muscle,,,,,,,,50,90,10
HAO:0000109,6,9,1,frontal carina,,,,,,,,60,90,10
HAO:0000110,7,9,1,anterior extension of mesofurca,,,,,,,,70,90,10
HAO:0000111,8,9,1,anterior extension of the preaxilla,,,,,,,,80,90,10
HAO:0000112,9,9,1,anterior glossal sclerite,,,,,,,,90,90,10
HAO:0000113,10,9,1,anterior labral retractor,,,,,,,,100,90,10
HAO:0000114,11,9,1,anterior margin of the speculum,,,,,,,,110,90,10
HAO:0000115,12,9,1,anterior mesofurco-mesolaterophragmal muscle,,,,,,,,120,90,10
HAO:0000116,13,9,1,anterior mesopleural area,,,,,,,,130,90,10
HAO:0000117,1,10,1,anterior mesopleural sulcus,,,,,,,,10,100,10
HAO:0000118,2,10,1,anterior mesopleuro-mesofurcal muscle,,,,,,,,20,100,10
HAO:0000119,3,10,1,anterior mesopleuro-third axillary sclerite of fore wing muscle,,,,,,,,30,100,10
HAO:0000120,4,10,1,anterior notal wing process,,,,,,,,40,100,10
HAO:0000121,5,10,1,anterior process of the mesofurcal bridge,,,,,,,,50,100,10
HAO:0000122,6,10,1,anterior process of the pronotum,,,,,,,,60,100,10
HAO:0000123,7,10,1,anterior process of the prosternum,,,,,,,,70,100,10
HAO:0000124,8,10,1,anterior profurcal lamella,,,,,,,,80,100,10
HAO:0000125,9,10,1,anterior rim of pronotum,,,,,,,,90,100,10
HAO:0000126,10,10,1,anterior tentorial pit,,,,,,,,100,100,10
HAO:0000127,11,10,1,antero-dorsal incision of mesopleuron,,,,,,,,110,100,10
HAO:0000128,12,10,1,anteroadmedian line,,,,,,,,120,100,10
HAO:0000129,13,10,1,anterolateral depression of the petiole,,,,,,,,130,100,10
HAO:0000130,1,11,1,anterolateral mesoscutal corner,,,,,,,,10,110,10
HAO:0000131,2,11,1,anteromedian pronotal ridge,,,,,,,,20,110,10
HAO:0000132,3,11,1,anteroventral pronotal inflection,,,,,,,,30,110,10
HAO:0000133,4,11,1,antescutal depression,,,,,,,,40,110,10
HAO:0000134,5,11,1,apex gonostipitis,,,,,,,,50,110,10
HAO:0000135,6,11,1,apex of the calcar,,,,,,,,60,110,10
HAO:0000136,7,11,1,apical clavomere ventral pit,,,,,,,,70,110,10
HAO:0000137,8,11,1,apical flagellomere,,,,,,,,80,110,10
HAO:0000138,9,11,1,apical parossiculal seta,,,,,,,,90,110,10
HAO:0000139,10,11,1,apical process of the labrum,,,,,,,,100,110,10
HAO:0000140,11,11,1,apical row of spines,,,,,,,,110,110,10
HAO:0000141,12,11,1,apiceps,,,,,,,,120,110,10
HAO:0000142,13,11,1,apodeme,,,,,,,,130,110,10
HAO:0000143,1,12,1,apophysis,,,,,,,,10,120,10
HAO:0000144,2,12,1,appendage,,,,,,,,20,120,10
HAO:0000145,3,12,1,appendage segment,,,,,,,,30,120,10
HAO:0000146,4,12,1,area,,,,,,,,40,120,10
HAO:0000147,5,12,1,areolet,,,,,,,,50,120,10
HAO:0000148,6,12,1,arolium,,,,,,,,60,120,10
HAO:0000149,7,12,1,articular line,,,,,,,,70,120,10
HAO:0000150,8,12,1,articular process,,,,,,,,80,120,10
HAO:0000151,9,12,1,articulation,,,,,,,,90,120,10
HAO:0000152,10,12,1,aulax,,,,,,,,100,120,10
HAO:0000153,11,12,1,auxilia,,,,,,,,110,120,10
HAO:0000154,12,12,1,auxiliar sclerite,,,,,,,,120,120,10
HAO:0000155,13,12,1,axilla,,,,,,,,130,120,10
HAO:0000156,1,13,1,axillar carina,,,,,,,,10,130,10
HAO:0000157,2,13,1,axillary cord,,,,,,,,20,130,10
HAO:0000158,3,13,1,axillary region,,,,,,,,30,130,10
HAO:0000159,4,13,1,axillary sclerite,,,,,,,,40,130,10
HAO:0000160,5,13,1,axillula,,,,,,,,50,130,10
HAO:0000161,6,13,1,axillular carina,,,,,,,,60,130,10
HAO:0000162,7,13,1,axillular setae,,,,,,,,70,130,10
HAO:0000163,8,13,1,band,,,,,,,,80,130,10
HAO:0000164,9,13,1,bar,,,,,,,,90,130,10
HAO:0000165,10,13,1,basal bridge,,,,,,,,100,130,10
HAO:0000166,11,13,1,basal grooves,,,,,,,,110,130,10
HAO:0000167,12,13,1,basal hooklets,,,,,,,,120,130,10
HAO:0000168,13,13,1,gonostipes/volsella complex,,,,,,,,130,130,10
HAO:0000169,1,1,2,basal transverse carina of third abdominal tergite,,,,,,,,10,10,20
HAO:0000170,2,1,2,basal vein,,,,,,,,20,10,20
HAO:0000171,3,1,2,basalare,,,,,,,,30,10,20
HAO:0000172,4,1,2,basiconic capitate peg sensillum,,,,,,,,40,10,20
HAO:0000173,5,1,2,basicosta,,,,,,,,50,10,20
HAO:0000174,6,1,2,basicostal suture,,,,,,,,60,10,20
HAO:0000175,7,1,2,basicoxite,,,,,,,,70,10,20
HAO:0000176,8,1,2,basisternum,,,,,,,,80,10,20
HAO:0000177,9,1,2,basitarsal notch,,,,,,,,90,10,20
HAO:0000178,10,1,2,basitarsus,,,,,,,,100,10,20
HAO:0000179,11,1,2,basiura,,,,,,,,110,10,20
HAO:0000180,12,1,2,basivalvula,,,,,,,,120,10,20
HAO:0000181,13,1,2,blade,,,,,,,,130,10,20
HAO:0000182,1,2,2,body,,,,,,,,10,20,20
HAO:0000183,2,2,2,body segment,,,,,,,,20,20,20
HAO:0000184,3,2,2,bulla,,,,,,,,30,20,20
HAO:0000185,4,2,2,calcar,,,,,,,,40,20,20
HAO:0000186,5,2,2,calyx,,,,,,,,50,20,20
HAO:0000187,6,2,2,cardo,,,,,,,,60,20,20
HAO:0000188,7,2,2,carina,,,,,,,,70,20,20
HAO:0000189,8,2,2,cenchrus,,,,,,,,80,20,20
HAO:0000191,9,2,2,cercus,,,,,,,,90,20,20
HAO:0000192,10,2,2,cervical apodeme,,,,,,,,100,20,20
HAO:0000193,11,2,2,cervical prominence,,,,,,,,110,20,20
HAO:0000194,12,2,2,cervical pronotal area,,,,,,,,120,20,20
HAO:0000195,13,2,2,cervical sclerite,,,,,,,,130,20,20
HAO:0000196,1,3,2,cervix,,,,,,,,10,30,20
HAO:0000197,2,3,2,chaetobothria,,,,,,,,20,30,20
HAO:0000198,3,3,2,chalaza,,,,,,,,30,30,20
HAO:0000199,4,3,2,chamber of the metanotum,,,,,,,,40,30,20
HAO:0000200,5,3,2,cheek,,,,,,,,50,30,20
HAO:0000201,6,3,2,cibarium,,,,,,,,60,30,20
HAO:0000202,7,3,2,circumocular ridge,,,,,,,,70,30,20
HAO:0000203,8,3,2,clava,,,,,,,,80,30,20
HAO:0000204,9,3,2,claval fold,,,,,,,,90,30,20
HAO:0000205,10,3,2,claval lobe,,,,,,,,100,30,20
HAO:0000206,11,3,2,cleaning brush,,,,,,,,110,30,20
HAO:0000207,12,3,2,closed coxal cavity,,,,,,,,120,30,20
HAO:0000208,13,3,2,club,,,,,,,,130,30,20
HAO:0000209,1,4,2,ventral rim of clypeus,,,,,,,,10,40,20
HAO:0000210,2,4,2,clypeal process,,,,,,,,20,40,20
HAO:0000211,3,4,2,clypeo-pleurostomal line,,,,,,,,30,40,20
HAO:0000212,4,4,2,clypeus,,,,,,,,40,40,20
HAO:0000213,5,4,2,coeloconic sensillum,,,,,,,,50,40,20
HAO:0000214,6,4,2,colleterial gland,,,,,,,,60,40,20
HAO:0000215,7,4,2,protibial comb,,,,,,,,70,40,20
HAO:0000216,8,4,2,comb of the spur,,,,,,,,80,40,20
HAO:0000217,9,4,2,compound eye,,,,,,,,90,40,20
HAO:0000218,10,4,2,condylar carina of the mandible,,,,,,,,100,40,20
HAO:0000219,11,4,2,condylar groove,,,,,,,,110,40,20
HAO:0000220,12,4,2,condyle,,,,,,,,120,40,20
HAO:0000221,13,4,2,conjunctiva,,,,,,,,130,40,20
HAO:0000222,1,5,2,corbicula,,,,,,,,10,50,20
HAO:0000223,2,5,2,corner,,,,,,,,20,50,20
HAO:0000224,3,5,2,coronal suture,,,,,,,,30,50,20
HAO:0000225,4,5,2,costa,,,,,,,,40,50,20
HAO:0000226,5,5,2,costal cell,,,,,,,,50,50,20
HAO:0000227,6,5,2,costal notch,,,,,,,,60,50,20
HAO:0000228,7,5,2,coxa,,,,,,,,70,50,20
HAO:0000229,8,5,2,coxal foramen,,,,,,,,80,50,20
HAO:0000230,9,5,2,coxal corium,,,,,,,,90,50,20
HAO:0000231,10,5,2,cranial condyle,,,,,,,,100,50,20
HAO:0000232,11,5,2,cranio-antennal muscle,,,,,,,,110,50,20
HAO:0000233,12,5,2,cranio-pharyngeal plate muscle,,,,,,,,120,50,20
HAO:0000234,13,5,2,cranium,,,,,,,,130,50,20
HAO:0000235,1,6,2,crest,,,,,,,,10,60,20
HAO:0000236,2,6,2,crossvein,,,,,,,,20,60,20
HAO:0000237,3,6,2,cubital vein,,,,,,,,30,60,20
HAO:0000238,4,6,2,cupula,,,,,,,,40,60,20
HAO:0000239,5,6,2,cuspis,,,,,,,,50,60,20
HAO:0000240,6,6,2,cuticle,,,,,,,,60,60,20
HAO:0000241,7,6,2,depression,,,,,,,,70,60,20
HAO:0000242,8,6,2,dicondylic joint,,,,,,,,80,60,20
HAO:0000243,9,6,2,dilator muscle apodeme,,,,,,,,90,60,20
HAO:0000244,10,6,2,discrimen,,,,,,,,100,60,20
HAO:0000245,11,6,2,discrimenal lamella,,,,,,,,110,60,20
HAO:0000246,12,6,2,apical gonostyle/volsella complex-harpal muscle,,,,,,,,120,60,20
HAO:0000247,13,6,2,distal gonostipo-parossiculal muscle,,,,,,,,130,60,20
HAO:0000248,1,7,2,distal tarsal plantula,,,,,,,,10,70,20
HAO:0000249,2,7,2,distivolsellar apodeme,,,,,,,,20,70,20
HAO:0000250,3,7,2,distodorsal gonostyle/volsella complex-penisvalval muscle,,,,,,,,30,70,20
HAO:0000251,4,7,2,distoventral gonostyle/volsella complex-penisvalval muscle,,,,,,,,40,70,20
HAO:0000252,5,7,2,dorsal axillar area,,,,,,,,50,70,20
HAO:0000253,6,7,2,dorsal cibarial dilatator muscle,,,,,,,,60,70,20
HAO:0000254,7,7,2,dorsal incision of the pronotum,,,,,,,,70,70,20
HAO:0000255,8,7,2,dorsal mesofurco-profurcal muscle,,,,,,,,80,70,20
HAO:0000256,9,7,2,dorsal mesometapleural carina,,,,,,,,90,70,20
HAO:0000257,10,7,2,dorsal mesopleural inflection,,,,,,,,100,70,20
HAO:0000258,11,7,2,dorsal mesopostnotal flange,,,,,,,,110,70,20
HAO:0000259,12,7,2,dorsal mesopostnotal incision,,,,,,,,120,70,20
HAO:0000260,13,7,2,dorsal metafurcal lamella,,,,,,,,130,70,20
HAO:0000261,1,8,2,dorsal metapleural area,,,,,,,,10,80,20
HAO:0000262,2,8,2,dorsal pharyngeal dilatator,,,,,,,,20,80,20
HAO:0000263,3,8,2,dorsal plate,,,,,,,,30,80,20
HAO:0000264,4,8,2,dorsal premental adductor,,,,,,,,40,80,20
HAO:0000265,5,8,2,dorsal profurcal lamella,,,,,,,,50,80,20
HAO:0000266,6,8,2,dorsal profurco-postoccipital muscle,,,,,,,,60,80,20
HAO:0000267,7,8,2,dorsal pronotal area,,,,,,,,70,80,20
HAO:0000268,8,8,2,dorsal pronotal corner,,,,,,,,80,80,20
HAO:0000269,9,8,2,dorsal pronotal inflection,,,,,,,,90,80,20
HAO:0000270,10,8,2,dorsal propleural area,,,,,,,,100,80,20
HAO:0000271,11,8,2,dorsal propleural ridge,,,,,,,,110,80,20
HAO:0000272,12,8,2,dorsal propodeal inflection,,,,,,,,120,80,20
HAO:0000273,13,8,2,dorsal rod,,,,,,,,130,80,20
HAO:0000274,1,9,2,dorsal premento-salivarial muscle,,,,,,,,10,90,20
HAO:0000275,2,9,2,dorsal tentorial arm,,,,,,,,20,90,20
HAO:0000276,3,9,2,dorsal tooth of mandible,,,,,,,,30,90,20
HAO:0000277,4,9,2,dorso-pleural line,,,,,,,,40,90,20
HAO:0000278,5,9,2,dorsolateral cupulo-gonostyle/volsella complex muscle,,,,,,,,50,90,20
HAO:0000279,6,9,2,dorsomedial cupulo-gonostyle/volsella complex muscle,,,,,,,,60,90,20
HAO:0000280,7,9,2,dorsope,,,,,,,,70,90,20
HAO:0000281,8,9,2,dorsum,,,,,,,,80,90,20
HAO:0000282,9,9,2,duct,,,,,,,,90,90,20
HAO:0000283,10,9,2,ductus ejaculatorius,,,,,,,,100,90,20
HAO:0000284,11,9,2,ectophallus,,,,,,,,110,90,20
HAO:0000285,12,9,2,edge,,,,,,,,120,90,20
HAO:0000286,13,9,2,egg,,,,,,,,130,90,20
HAO:0000287,1,10,2,anellus,,,,,,,,10,100,20
HAO:0000288,2,10,2,empodium,,,,,,,,20,100,20
HAO:0000289,3,10,2,encircling groove,,,,,,,,30,100,20
HAO:0000290,4,10,2,endocuticle,,,,,,,,40,100,20
HAO:0000291,5,10,2,endophallus,,,,,,,,50,100,20
HAO:0000292,6,10,2,epicnemial carina,,,,,,,,60,100,20
HAO:0000293,7,10,2,epicnemial pit,,,,,,,,70,100,20
HAO:0000294,8,10,2,epicnemium,,,,,,,,80,100,20
HAO:0000295,9,10,2,epicoxal lobe,,,,,,,,90,100,20
HAO:0000296,10,10,2,epicoxal sulcus,,,,,,,,100,100,20
HAO:0000297,11,10,2,epicranial suture,,,,,,,,110,100,20
HAO:0000298,12,10,2,epidermis,,,,,,,,120,100,20
HAO:0000299,13,10,2,epimeron,,,,,,,,130,100,20
HAO:0000300,1,11,2,epipharyngeal wall,,,,,,,,10,110,20
HAO:0000301,2,11,2,epipharynx,,,,,,,,20,110,20
HAO:0000302,3,11,2,epipygium,,,,,,,,30,110,20
HAO:0000303,4,11,2,episternum,,,,,,,,40,110,20
HAO:0000304,5,11,2,epistomal declivity,,,,,,,,50,110,20
HAO:0000305,6,11,2,epistomal ridge,,,,,,,,60,110,20
HAO:0000306,7,11,2,epistomal sulcus,,,,,,,,70,110,20
HAO:0000307,8,11,2,epomial carina,,,,,,,,80,110,20
HAO:0000308,9,11,2,ergot,,,,,,,,90,110,20
HAO:0000309,10,11,2,eusternum,,,,,,,,100,110,20
HAO:0000310,11,11,2,evaporatorium,,,,,,,,110,110,20
HAO:0000311,12,11,2,exocuticle,,,,,,,,120,110,20
HAO:0000312,13,11,2,external male genitalia,,,,,,,,130,110,20
HAO:0000313,1,12,2,external paramera,,,,,,,,10,120,20
HAO:0000314,2,12,2,premento-palpal muscle,,,,,,,,20,120,20
HAO:0000315,3,12,2,exuvia,,,,,,,,30,120,20
HAO:0000316,4,12,2,face,,,,,,,,40,120,20
HAO:0000317,5,12,2,facial fovea,,,,,,,,50,120,20
HAO:0000318,6,12,2,facial orbit,,,,,,,,60,120,20
HAO:0000319,7,12,2,facial pit,,,,,,,,70,120,20
HAO:0000320,8,12,2,facial sulcus,,,,,,,,80,120,20
HAO:0000321,9,12,2,fascia,,,,,,,,90,120,20
HAO:0000322,10,12,2,felt field,,,,,,,,100,120,20
HAO:0000323,11,12,2,felt line,,,,,,,,110,120,20
HAO:0000324,12,12,2,female genitalia,,,,,,,,120,120,20
HAO:0000325,13,12,2,femoral depression,,,,,,,,130,120,20
HAO:0000326,1,13,2,femoral groove,,,,,,,,10,130,20
HAO:0000327,2,13,2,femur,,,,,,,,20,130,20
HAO:0000328,3,13,2,fibula ducti,,,,,,,,30,130,20
HAO:0000329,4,13,2,first abdominal spiracle,,,,,,,,40,130,20
HAO:0000330,5,13,2,first axillary sclerite,,,,,,,,50,130,20
HAO:0000331,6,13,2,first median plate,,,,,,,,60,130,20
HAO:0000332,7,13,2,first mesopleuro-mesonotal muscle,,,,,,,,70,130,20
HAO:0000333,8,13,2,first phragmo-postoccipital muscle,,,,,,,,80,130,20
HAO:0000334,9,13,2,first phragmo-propleural muscle,,,,,,,,90,130,20
HAO:0000335,10,13,2,first phragmo-second phragmal muscle,,,,,,,,100,130,20
HAO:0000336,11,13,2,distal gonostyle/volsella complex-harpal muscle,,,,,,,,110,130,20
HAO:0000337,12,13,2,first subdiscal,,,,,,,,120,130,20
HAO:0000338,13,13,2,first valvifer,,,,,,,,130,130,20
HAO:0000339,1,1,3,first valvula,,,,,,,,10,10,30
HAO:0000340,2,1,3,fissure,,,,,,,,20,10,30
HAO:0000341,3,1,3,flabellum,,,,,,,,30,10,30
HAO:0000342,4,1,3,flagellomere,,,,,,,,40,10,30
HAO:0000343,5,1,3,flagellum,,,,,,,,50,10,30
HAO:0000344,6,1,3,flange,,,,,,,,60,10,30
HAO:0000345,7,1,3,foramen,,,,,,,,70,10,30
HAO:0000346,8,1,3,foramen genitale,,,,,,,,80,10,30
HAO:0000347,9,1,3,occipital foramen,,,,,,,,90,10,30
HAO:0000348,10,1,3,fore coxa,,,,,,,,100,10,30
HAO:0000349,11,1,3,fore leg,,,,,,,,110,10,30
HAO:0000350,12,1,3,fore tibia,,,,,,,,120,10,30
HAO:0000351,13,1,3,fore wing,,,,,,,,130,10,30
HAO:0000352,1,2,3,forewing,,,,,,,,10,20,30
HAO:0000353,2,2,3,fossa,,,,,,,,20,20,30
HAO:0000354,3,2,3,frenal line,,,,,,,,30,20,30
HAO:0000355,4,2,3,frenum,,,,,,,,40,20,30
HAO:0000356,5,2,3,frontal line,,,,,,,,50,20,30
HAO:0000357,6,2,3,frontal orbit,,,,,,,,60,20,30
HAO:0000358,7,2,3,frontal patch,,,,,,,,70,20,30
HAO:0000359,8,2,3,frontal scrobe,,,,,,,,80,20,30
HAO:0000360,9,2,3,frontal suture,,,,,,,,90,20,30
HAO:0000361,10,2,3,functional mouth,,,,,,,,100,20,30
HAO:0000362,11,2,3,funicle,,,,,,,,110,20,30
HAO:0000363,12,2,3,funicle segment,,,,,,,,120,20,30
HAO:0000364,13,2,3,furca,,,,,,,,130,20,30
HAO:0000365,1,3,3,furcal arm,,,,,,,,10,30,30
HAO:0000366,2,3,3,furcal pit,,,,,,,,20,30,30
HAO:0000367,3,3,3,furcasternum,,,,,,,,30,30,30
HAO:0000368,4,3,3,galea,,,,,,,,40,30,30
HAO:0000369,5,3,3,gaster,,,,,,,,50,30,30
HAO:0000370,6,3,3,gastrocoelus,,,,,,,,60,30,30
HAO:0000371,7,3,3,gena,,,,,,,,70,30,30
HAO:0000372,8,3,3,genal bridge,,,,,,,,80,30,30
HAO:0000373,9,3,3,genal patch,,,,,,,,90,30,30
HAO:0000374,10,3,3,genitalia,,,,,,,,100,30,30
HAO:0000375,11,3,3,gland,,,,,,,,110,30,30
HAO:0000376,12,3,3,glossa,,,,,,,,120,30,30
HAO:0000377,13,3,3,premento-glossal muscle,,,,,,,,130,30,30
HAO:0000378,1,4,3,glymma,,,,,,,,10,40,30
HAO:0000379,2,4,3,gonad,,,,,,,,20,40,30
HAO:0000380,3,4,3,gonocondyle,,,,,,,,30,40,30
HAO:0000381,4,4,3,gonoforceps,,,,,,,,40,40,30
HAO:0000382,5,4,3,gonomacula,,,,,,,,50,40,30
HAO:0000383,6,4,3,gonopod,,,,,,,,60,40,30
HAO:0000384,7,4,3,gonossiculo-phallotremal muscle,,,,,,,,70,40,30
HAO:0000385,8,4,3,gonossiculus,,,,,,,,80,40,30
HAO:0000386,9,4,3,gonostipes,,,,,,,,90,40,30
HAO:0000387,10,4,3,gonostipital arm,,,,,,,,100,40,30
HAO:0000388,11,4,3,gonostipo-volsellal muscle,,,,,,,,110,40,30
HAO:0000389,12,4,3,gonostyle,,,,,,,,120,40,30
HAO:0000390,13,4,3,gradulus,,,,,,,,130,40,30
HAO:0000391,1,5,3,gula,,,,,,,,10,50,30
HAO:0000392,2,5,3,gular ridge,,,,,,,,20,50,30
HAO:0000393,3,5,3,gular sulcus,,,,,,,,30,50,30
HAO:0000394,4,5,3,hamulus,,,,,,,,40,50,30
HAO:0000395,5,5,3,harpe,,,,,,,,50,50,30
HAO:0000396,6,5,3,harpo-gonomaculal muscle,,,,,,,,60,50,30
HAO:0000397,7,5,3,head,,,,,,,,70,50,30
HAO:0000398,8,5,3,head capsule,,,,,,,,80,50,30
HAO:0000399,9,5,3,hind leg,,,,,,,,90,50,30
HAO:0000400,10,5,3,hind wing,,,,,,,,100,50,30
HAO:0000401,11,5,3,hindwing,,,,,,,,110,50,30
