X, Y, Z, ID, Description
HAO:0000044,3.0,2.0,0.5,abdominal sternum 7
HAO:0000045,3.5,2.0,0.5,sequential hermaphroditic organism
HAO:0000046,4.0,2.0,0.5,synchronous hermaphroditic organism
HAO:0000047,4.5,2.0,0.5,abdominal sternum 9
HAO:0000048,5.0,2.0,0.5,gonochoristic organism
HAO:0000049,5.5,2.0,0.5,protandrous hermaphroditic organism
HAO:0000050,6.0,2.0,0.5,protogynous hermaphroditic organism
HAO:0000051,6.5,2.0,0.5,abdominal tergum 1
HAO:0000052,0.5,2.5,0.5,abdominal tergum 10
HAO:0000053,1.0,2.5,0.5,abdominal tergum 2
HAO:0000054,1.5,2.5,0.5,anatomical group
HAO:0000055,2.0,2.5,0.5,multi-tissue structure
HAO:0000056,2.5,2.5,0.5,abdominal tergum 3
HAO:0000057,3.0,2.5,0.5,abdominal tergum 4
HAO:0000058,3.5,2.5,0.5,abdominal tergum 5
HAO:0000059,4.0,2.5,0.5,abdominal tergum 6
HAO:0000060,4.5,2.5,0.5,abdominal tergum 7
HAO:0000061,5.0,2.5,0.5,abdominal tergum 8
HAO:0000062,5.5,2.5,0.5,cell space
HAO:0000063,6.0,2.5,0.5,portion of cell substance
HAO:0000064,6.5,2.5,0.5,single cell organism
HAO:0000065,0.5,3.0,0.5,basal lamina
HAO:0000066,1.0,3.0,0.5,epithelium
HAO:0000067,1.5,3.0,0.5,simple cuboidal epithelium
HAO:0000068,2.0,3.0,0.5,simple columnar epithelium
HAO:0000069,2.5,3.0,0.5,multilaminar epithelium
HAO:0000070,3.0,3.0,0.5,simple squamous epithelium
HAO:0000071,3.5,3.0,0.5,atypical epithelium
HAO:0000072,4.0,3.0,0.5,cavitated compound organ
HAO:0000073,4.5,3.0,0.5,unilaminar epithelium
HAO:0000074,5.0,3.0,0.5,solid compound organ
HAO:0000075,5.5,3.0,0.5,T9
HAO:0000076,6.0,3.0,0.5,abscissa
HAO:0000077,6.5,3.0,0.5,epithelial cell
HAO:0000078,0.5,3.5,0.5,accessory gland
HAO:0000079,1.0,3.5,0.5,accessory ventral condyle
HAO:0000080,1.5,3.5,0.5,acetabular carina
HAO:0000081,2.0,3.5,0.5,acetabular groove
HAO:0000082,2.5,3.5,0.5,acetabulum
HAO:0000083,3.0,3.5,0.5,acropleural apodeme
HAO:0000084,3.5,3.5,0.5,acropleural sulcus
HAO:0000085,4.0,3.5,0.5,acrosternite
HAO:0000086,4.5,3.5,0.5,aculea
HAO:0000087,5.0,3.5,0.5,adult
HAO:0000088,5.5,3.5,0.5,adult abdomen
HAO:0000089,6.0,3.5,0.5,adult tagma
HAO:0000090,6.5,3.5,0.5,adult thorax
HAO:0000091,0.5,4.0,0.5,aedeagus
HAO:0000092,1.0,4.0,0.5,alinotum
HAO:0000093,1.5,4.0,0.5,anal vein
HAO:0000094,2.0,4.0,0.5,anepisternum
HAO:0000095,2.5,4.0,0.5,annellus
HAO:0000096,3.0,4.0,0.5,annulus
HAO:0000097,3.5,4.0,0.5,anteclypeus
HAO:0000098,4.0,4.0,0.5,antecosta
HAO:0000099,4.5,4.0,0.5,antecostal sulcus
HAO:0000100,5.0,4.0,0.5,antemedian mesonotal wing process
HAO:0000101,5.5,4.0,0.5,antenna
HAO:0000102,6.0,4.0,0.5,antenna cleaner
HAO:0000103,6.5,4.0,0.5,antennal rim
HAO:0000104,0.5,4.5,0.5,antennal segment
HAO:0000105,1.0,4.5,0.5,antennal shelf
HAO:0000106,1.5,4.5,0.5,antennal suture
HAO:0000107,2.0,4.5,0.5,antennomere
HAO:0000108,2.5,4.5,0.5,posterior cranio-mandibular muscle
HAO:0000109,3.0,4.5,0.5,frontal carina
HAO:0000110,3.5,4.5,0.5,anterior extension of mesofurca
HAO:0000111,4.0,4.5,0.5,anterior extension of the preaxilla
HAO:0000112,4.5,4.5,0.5,anterior glossal sclerite
HAO:0000113,5.0,4.5,0.5,anterior labral retractor
HAO:0000114,5.5,4.5,0.5,anterior margin of the speculum
HAO:0000115,6.0,4.5,0.5,anterior mesofurco-mesolaterophragmal muscle
HAO:0000116,6.5,4.5,0.5,anterior mesopleural area
HAO:0000117,0.5,5.0,0.5,anterior mesopleural sulcus
HAO:0000118,1.0,5.0,0.5,anterior mesopleuro-mesofurcal muscle
HAO:0000119,1.5,5.0,0.5,anterior mesopleuro-third axillary sclerite of fore wing muscle
HAO:0000120,2.0,5.0,0.5,anterior notal wing process
HAO:0000121,2.5,5.0,0.5,anterior process of the mesofurcal bridge
HAO:0000122,3.0,5.0,0.5,anterior process of the pronotum
HAO:0000123,3.5,5.0,0.5,anterior process of the prosternum
HAO:0000124,4.0,5.0,0.5,anterior profurcal lamella
HAO:0000125,4.5,5.0,0.5,anterior rim of pronotum
HAO:0000126,5.0,5.0,0.5,anterior tentorial pit
HAO:0000127,5.5,5.0,0.5,antero-dorsal incision of mesopleuron
HAO:0000128,6.0,5.0,0.5,anteroadmedian line
HAO:0000129,6.5,5.0,0.5,anterolateral depression of the petiole
HAO:0000130,0.5,5.5,0.5,anterolateral mesoscutal corner
HAO:0000131,1.0,5.5,0.5,anteromedian pronotal ridge
HAO:0000132,1.5,5.5,0.5,anteroventral pronotal inflection
HAO:0000133,2.0,5.5,0.5,antescutal depression
HAO:0000134,2.5,5.5,0.5,apex gonostipitis
HAO:0000135,3.0,5.5,0.5,apex of the calcar
HAO:0000136,3.5,5.5,0.5,apical clavomere ventral pit
HAO:0000137,4.0,5.5,0.5,apical flagellomere
HAO:0000138,4.5,5.5,0.5,apical parossiculal seta
HAO:0000139,5.0,5.5,0.5,apical process of the labrum
HAO:0000140,5.5,5.5,0.5,apical row of spines
HAO:0000141,6.0,5.5,0.5,apiceps
HAO:0000142,6.5,5.5,0.5,apodeme
HAO:0000143,0.5,6.0,0.5,apophysis
HAO:0000144,1.0,6.0,0.5,appendage
HAO:0000145,1.5,6.0,0.5,appendage segment
HAO:0000146,2.0,6.0,0.5,area
HAO:0000147,2.5,6.0,0.5,areolet
HAO:0000148,3.0,6.0,0.5,arolium
HAO:0000149,3.5,6.0,0.5,articular line
HAO:0000150,4.0,6.0,0.5,articular process
HAO:0000151,4.5,6.0,0.5,articulation
HAO:0000152,5.0,6.0,0.5,aulax
HAO:0000153,5.5,6.0,0.5,auxilia
HAO:0000154,6.0,6.0,0.5,auxiliar sclerite
HAO:0000155,6.5,6.0,0.5,axilla
HAO:0000156,0.5,6.5,0.5,axillar carina
HAO:0000157,1.0,6.5,0.5,axillary cord
HAO:0000158,1.5,6.5,0.5,axillary region
HAO:0000159,2.0,6.5,0.5,axillary sclerite
HAO:0000160,2.5,6.5,0.5,axillula
HAO:0000161,3.0,6.5,0.5,axillular carina
HAO:0000162,3.5,6.5,0.5,axillular setae
HAO:0000163,4.0,6.5,0.5,band
HAO:0000164,4.5,6.5,0.5,bar
HAO:0000165,5.0,6.5,0.5,basal bridge
HAO:0000166,5.5,6.5,0.5,basal grooves
HAO:0000167,6.0,6.5,0.5,basal hooklets
HAO:0000168,6.5,6.5,0.5,gonostipes/volsella complex
HAO:0000169,0.5,0.5,1.0,basal transverse carina of third abdominal tergite
HAO:0000170,1.0,0.5,1.0,basal vein
HAO:0000171,1.5,0.5,1.0,basalare
HAO:0000172,2.0,0.5,1.0,basiconic capitate peg sensillum
HAO:0000173,2.5,0.5,1.0,basicosta
HAO:0000174,3.0,0.5,1.0,basicostal suture
HAO:0000175,3.5,0.5,1.0,basicoxite
HAO:0000176,4.0,0.5,1.0,basisternum
HAO:0000177,4.5,0.5,1.0,basitarsal notch
HAO:0000178,5.0,0.5,1.0,basitarsus
HAO:0000179,5.5,0.5,1.0,basiura
HAO:0000180,6.0,0.5,1.0,basivalvula
HAO:0000181,6.5,0.5,1.0,blade
HAO:0000182,0.5,1.0,1.0,body
HAO:0000183,1.0,1.0,1.0,body segment
HAO:0000184,1.5,1.0,1.0,bulla
HAO:0000185,2.0,1.0,1.0,calcar
HAO:0000186,2.5,1.0,1.0,calyx
HAO:0000187,3.0,1.0,1.0,cardo
HAO:0000188,3.5,1.0,1.0,carina
HAO:0000189,4.0,1.0,1.0,cenchrus
HAO:0000191,4.5,1.0,1.0,cercus
HAO:0000192,5.0,1.0,1.0,cervical apodeme
HAO:0000193,5.5,1.0,1.0,cervical prominence
HAO:0000194,6.0,1.0,1.0,cervical pronotal area
HAO:0000195,6.5,1.0,1.0,cervical sclerite
HAO:0000196,0.5,1.5,1.0,cervix
HAO:0000197,1.0,1.5,1.0,chaetobothria
HAO:0000198,1.5,1.5,1.0,chalaza
HAO:0000199,2.0,1.5,1.0,chamber of the metanotum
HAO:0000200,2.5,1.5,1.0,cheek
HAO:0000201,3.0,1.5,1.0,cibarium
HAO:0000202,3.5,1.5,1.0,circumocular ridge
HAO:0000203,4.0,1.5,1.0,clava
HAO:0000204,4.5,1.5,1.0,claval fold
HAO:0000205,5.0,1.5,1.0,claval lobe
HAO:0000206,5.5,1.5,1.0,cleaning brush
HAO:0000207,6.0,1.5,1.0,closed coxal cavity
HAO:0000208,6.5,1.5,1.0,club
HAO:0000209,0.5,2.0,1.0,ventral rim of clypeus
HAO:0000210,1.0,2.0,1.0,clypeal process
HAO:0000211,1.5,2.0,1.0,clypeo-pleurostomal line
HAO:0000212,2.0,2.0,1.0,clypeus
HAO:0000213,2.5,2.0,1.0,coeloconic sensillum
HAO:0000214,3.0,2.0,1.0,colleterial gland
HAO:0000215,3.5,2.0,1.0,protibial comb
HAO:0000216,4.0,2.0,1.0,comb of the spur
HAO:0000217,4.5,2.0,1.0,compound eye
HAO:0000218,5.0,2.0,1.0,condylar carina of the mandible
HAO:0000219,5.5,2.0,1.0,condylar groove
HAO:0000220,6.0,2.0,1.0,condyle
HAO:0000221,6.5,2.0,1.0,conjunctiva
HAO:0000222,0.5,2.5,1.0,corbicula
HAO:0000223,1.0,2.5,1.0,corner
HAO:0000224,1.5,2.5,1.0,coronal suture
HAO:0000225,2.0,2.5,1.0,costa
HAO:0000226,2.5,2.5,1.0,costal cell
HAO:0000227,3.0,2.5,1.0,costal notch
HAO:0000228,3.5,2.5,1.0,coxa
HAO:0000229,4.0,2.5,1.0,coxal foramen
HAO:0000230,4.5,2.5,1.0,coxal corium
HAO:0000231,5.0,2.5,1.0,cranial condyle
HAO:0000232,5.5,2.5,1.0,cranio-antennal muscle
HAO:0000233,6.0,2.5,1.0,cranio-pharyngeal plate muscle
HAO:0000234,6.5,2.5,1.0,cranium
HAO:0000235,0.5,3.0,1.0,crest
HAO:0000236,1.0,3.0,1.0,crossvein
HAO:0000237,1.5,3.0,1.0,cubital vein
HAO:0000238,2.0,3.0,1.0,cupula
HAO:0000239,2.5,3.0,1.0,cuspis
HAO:0000240,3.0,3.0,1.0,cuticle
HAO:0000241,3.5,3.0,1.0,depression
HAO:0000242,4.0,3.0,1.0,dicondylic joint
HAO:0000243,4.5,3.0,1.0,dilator muscle apodeme
HAO:0000244,5.0,3.0,1.0,discrimen
HAO:0000245,5.5,3.0,1.0,discrimenal lamella
HAO:0000246,6.0,3.0,1.0,apical gonostyle/volsella complex-harpal muscle
HAO:0000247,6.5,3.0,1.0,distal gonostipo-parossiculal muscle
HAO:0000248,0.5,3.5,1.0,distal tarsal plantula
HAO:0000249,1.0,3.5,1.0,distivolsellar apodeme
HAO:0000250,1.5,3.5,1.0,distodorsal gonostyle/volsella complex-penisvalval muscle
HAO:0000251,2.0,3.5,1.0,distoventral gonostyle/volsella complex-penisvalval muscle
HAO:0000252,2.5,3.5,1.0,dorsal axillar area
HAO:0000253,3.0,3.5,1.0,dorsal cibarial dilatator muscle
HAO:0000254,3.5,3.5,1.0,dorsal incision of the pronotum
HAO:0000255,4.0,3.5,1.0,dorsal mesofurco-profurcal muscle
HAO:0000256,4.5,3.5,1.0,dorsal mesometapleural carina
HAO:0000257,5.0,3.5,1.0,dorsal mesopleural inflection
HAO:0000258,5.5,3.5,1.0,dorsal mesopostnotal flange
HAO:0000259,6.0,3.5,1.0,dorsal mesopostnotal incision
HAO:0000260,6.5,3.5,1.0,dorsal metafurcal lamella
HAO:0000261,0.5,4.0,1.0,dorsal metapleural area
HAO:0000262,1.0,4.0,1.0,dorsal pharyngeal dilatator
HAO:0000263,1.5,4.0,1.0,dorsal plate
HAO:0000264,2.0,4.0,1.0,dorsal premental adductor
HAO:0000265,2.5,4.0,1.0,dorsal profurcal lamella
HAO:0000266,3.0,4.0,1.0,dorsal profurco-postoccipital muscle
HAO:0000267,3.5,4.0,1.0,dorsal pronotal area
HAO:0000268,4.0,4.0,1.0,dorsal pronotal corner
HAO:0000269,4.5,4.0,1.0,dorsal pronotal inflection
HAO:0000270,5.0,4.0,1.0,dorsal propleural area
HAO:0000271,5.5,4.0,1.0,dorsal propleural ridge
HAO:0000272,6.0,4.0,1.0,dorsal propodeal inflection
HAO:0000273,6.5,4.0,1.0,dorsal rod
HAO:0000274,0.5,4.5,1.0,dorsal premento-salivarial muscle
HAO:0000275,1.0,4.5,1.0,dorsal tentorial arm
HAO:0000276,1.5,4.5,1.0,dorsal tooth of mandible
HAO:0000277,2.0,4.5,1.0,dorso-pleural line
HAO:0000278,2.5,4.5,1.0,dorsolateral cupulo-gonostyle/volsella complex muscle
HAO:0000279,3.0,4.5,1.0,dorsomedial cupulo-gonostyle/volsella complex muscle
HAO:0000280,3.5,4.5,1.0,dorsope
HAO:0000281,4.0,4.5,1.0,dorsum
HAO:0000282,4.5,4.5,1.0,duct
HAO:0000283,5.0,4.5,1.0,ductus ejaculatorius
HAO:0000284,5.5,4.5,1.0,ectophallus
HAO:0000285,6.0,4.5,1.0,edge
HAO:0000286,6.5,4.5,1.0,egg
HAO:0000287,0.5,5.0,1.0,anellus
HAO:0000288,1.0,5.0,1.0,empodium
HAO:0000289,1.5,5.0,1.0,encircling groove
HAO:0000290,2.0,5.0,1.0,endocuticle
HAO:0000291,2.5,5.0,1.0,endophallus
HAO:0000292,3.0,5.0,1.0,epicnemial carina
HAO:0000293,3.5,5.0,1.0,epicnemial pit
HAO:0000294,4.0,5.0,1.0,epicnemium
HAO:0000295,4.5,5.0,1.0,epicoxal lobe
HAO:0000296,5.0,5.0,1.0,epicoxal sulcus
HAO:0000297,5.5,5.0,1.0,epicranial suture
HAO:0000298,6.0,5.0,1.0,epidermis
HAO:0000299,6.5,5.0,1.0,epimeron
HAO:0000300,0.5,5.5,1.0,epipharyngeal wall
HAO:0000301,1.0,5.5,1.0,epipharynx
HAO:0000302,1.5,5.5,1.0,epipygium
HAO:0000303,2.0,5.5,1.0,episternum
HAO:0000304,2.5,5.5,1.0,epistomal declivity
HAO:0000305,3.0,5.5,1.0,epistomal ridge
HAO:0000306,3.5,5.5,1.0,epistomal sulcus
HAO:0000307,4.0,5.5,1.0,epomial carina
HAO:0000308,4.5,5.5,1.0,ergot
HAO:0000309,5.0,5.5,1.0,eusternum
HAO:0000310,5.5,5.5,1.0,evaporatorium
HAO:0000311,6.0,5.5,1.0,exocuticle
HAO:0000312,6.5,5.5,1.0,external male genitalia
HAO:0000313,0.5,6.0,1.0,external paramera
HAO:0000314,1.0,6.0,1.0,premento-palpal muscle
HAO:0000315,1.5,6.0,1.0,exuvia
HAO:0000316,2.0,6.0,1.0,face
HAO:0000317,2.5,6.0,1.0,facial fovea
HAO:0000318,3.0,6.0,1.0,facial orbit
HAO:0000319,3.5,6.0,1.0,facial pit
HAO:0000320,4.0,6.0,1.0,facial sulcus
HAO:0000321,4.5,6.0,1.0,fascia
HAO:0000322,5.0,6.0,1.0,felt field
HAO:0000323,5.5,6.0,1.0,felt line
HAO:0000324,6.0,6.0,1.0,female genitalia
HAO:0000325,6.5,6.0,1.0,femoral depression
HAO:0000326,0.5,6.5,1.0,femoral groove
HAO:0000327,1.0,6.5,1.0,femur
HAO:0000328,1.5,6.5,1.0,fibula ducti
HAO:0000329,2.0,6.5,1.0,first abdominal spiracle
HAO:0000330,2.5,6.5,1.0,first axillary sclerite
HAO:0000331,3.0,6.5,1.0,first median plate
HAO:0000332,3.5,6.5,1.0,first mesopleuro-mesonotal muscle
HAO:0000333,4.0,6.5,1.0,first phragmo-postoccipital muscle
HAO:0000334,4.5,6.5,1.0,first phragmo-propleural muscle
HAO:0000335,5.0,6.5,1.0,first phragmo-second phragmal muscle
HAO:0000336,5.5,6.5,1.0,distal gonostyle/volsella complex-harpal muscle
HAO:0000337,6.0,6.5,1.0,first subdiscal
HAO:0000338,6.5,6.5,1.0,first valvifer
HAO:0000339,0.5,0.5,1.5,first valvula
HAO:0000340,1.0,0.5,1.5,fissure
HAO:0000341,1.5,0.5,1.5,flabellum
HAO:0000342,2.0,0.5,1.5,flagellomere
HAO:0000343,2.5,0.5,1.5,flagellum
HAO:0000344,3.0,0.5,1.5,flange
HAO:0000345,3.5,0.5,1.5,foramen
HAO:0000346,4.0,0.5,1.5,foramen genitale
HAO:0000347,4.5,0.5,1.5,occipital foramen
HAO:0000348,5.0,0.5,1.5,fore coxa
HAO:0000349,5.5,0.5,1.5,fore leg
HAO:0000350,6.0,0.5,1.5,fore tibia
HAO:0000351,6.5,0.5,1.5,fore wing
HAO:0000352,0.5,1.0,1.5,forewing
HAO:0000353,1.0,1.0,1.5,fossa
HAO:0000354,1.5,1.0,1.5,frenal line
HAO:0000355,2.0,1.0,1.5,frenum
HAO:0000356,2.5,1.0,1.5,frontal line
HAO:0000357,3.0,1.0,1.5,frontal orbit
HAO:0000358,3.5,1.0,1.5,frontal patch
HAO:0000359,4.0,1.0,1.5,frontal scrobe
HAO:0000360,4.5,1.0,1.5,frontal suture
HAO:0000361,5.0,1.0,1.5,functional mouth
HAO:0000362,5.5,1.0,1.5,funicle
HAO:0000363,6.0,1.0,1.5,funicle segment
HAO:0000364,6.5,1.0,1.5,furca
HAO:0000365,0.5,1.5,1.5,furcal arm
HAO:0000366,1.0,1.5,1.5,furcal pit
HAO:0000367,1.5,1.5,1.5,furcasternum
HAO:0000368,2.0,1.5,1.5,galea
HAO:0000369,2.5,1.5,1.5,gaster
HAO:0000370,3.0,1.5,1.5,gastrocoelus
HAO:0000371,3.5,1.5,1.5,gena
HAO:0000372,4.0,1.5,1.5,genal bridge
HAO:0000373,4.5,1.5,1.5,genal patch
HAO:0000374,5.0,1.5,1.5,genitalia
HAO:0000375,5.5,1.5,1.5,gland
HAO:0000376,6.0,1.5,1.5,glossa
HAO:0000377,6.5,1.5,1.5,premento-glossal muscle
HAO:0000378,0.5,2.0,1.5,glymma
HAO:0000379,1.0,2.0,1.5,gonad
HAO:0000380,1.5,2.0,1.5,gonocondyle
HAO:0000381,2.0,2.0,1.5,gonoforceps
HAO:0000382,2.5,2.0,1.5,gonomacula
HAO:0000383,3.0,2.0,1.5,gonopod
HAO:0000384,3.5,2.0,1.5,gonossiculo-phallotremal muscle
HAO:0000385,4.0,2.0,1.5,gonossiculus
HAO:0000386,4.5,2.0,1.5,gonostipes
HAO:0000387,5.0,2.0,1.5,gonostipital arm
HAO:0000388,5.5,2.0,1.5,gonostipo-volsellal muscle
HAO:0000389,6.0,2.0,1.5,gonostyle
HAO:0000390,6.5,2.0,1.5,gradulus
HAO:0000391,0.5,2.5,1.5,gula
HAO:0000392,1.0,2.5,1.5,gular ridge
HAO:0000393,1.5,2.5,1.5,gular sulcus
HAO:0000394,2.0,2.5,1.5,hamulus
HAO:0000395,2.5,2.5,1.5,harpe
HAO:0000396,3.0,2.5,1.5,harpo-gonomaculal muscle
HAO:0000397,3.5,2.5,1.5,head
HAO:0000398,4.0,2.5,1.5,head capsule
HAO:0000399,4.5,2.5,1.5,hind leg
HAO:0000400,5.0,2.5,1.5,hind wing
HAO:0000401,5.5,2.5,1.5,hindwing
HAO:0000402,6.0,2.5,1.5,median complex
HAO:0000403,6.5,2.5,1.5,humeral plate
HAO:0000404,0.5,3.0,1.5,humeral sclerite of the metanotum
HAO:0000405,1.0,3.0,1.5,hymenopteran
HAO:0000406,1.5,3.0,1.5,hyperoccipital carina
HAO:0000407,2.0,3.0,1.5,hypoclypeal depression
HAO:0000408,2.5,3.0,1.5,hypopharyngeal rod
HAO:0000409,3.0,3.0,1.5,hypopharynx
HAO:0000410,3.5,3.0,1.5,hypopygium
HAO:0000411,4.0,3.0,1.5,hypostoma
HAO:0000412,4.5,3.0,1.5,hypostomal bridge
HAO:0000413,5.0,3.0,1.5,hypostomal carina
HAO:0000414,5.5,3.0,1.5,hypostomal sulcus
HAO:0000415,6.0,3.0,1.5,hypostomal suture
HAO:0000416,6.5,3.0,1.5,hypostomal tooth
HAO:0000417,0.5,3.5,1.5,impression
HAO:0000418,1.0,3.5,1.5,inflection
HAO:0000419,1.5,3.5,1.5,inner orbit
HAO:0000420,2.0,3.5,1.5,integrated tarsal plantula
HAO:0000421,2.5,3.5,1.5,integument
HAO:0000422,3.0,3.5,1.5,interantennal process
HAO:0000423,3.5,3.5,1.5,interantennal process
HAO:0000424,4.0,3.5,1.5,interantennal prominence
HAO:0000425,4.5,3.5,1.5,interaxillar sulcus
HAO:0000426,5.0,3.5,1.5,intercoxal space
HAO:0000427,5.5,3.5,1.5,internal male genitalia
HAO:0000428,6.0,3.5,1.5,internal metanotal ridge
HAO:0000429,6.5,3.5,1.5,interocellar pit
HAO:0000430,0.5,4.0,1.5,interocellar space
HAO:0000431,1.0,4.0,1.5,interommatidial seta
HAO:0000432,1.5,4.0,1.5,interorbital space
HAO:0000433,2.0,4.0,1.5,interpenisvalval muscle
HAO:0000434,2.5,4.0,1.5,intersegmental membrane
HAO:0000435,3.0,4.0,1.5,intersegmental membrane-mesobasalar muscle
HAO:0000436,3.5,4.0,1.5,intersegmentalia
HAO:0000437,4.0,4.0,1.5,intersternite
HAO:0000438,4.5,4.0,1.5,interstice
HAO:0000439,5.0,4.0,1.5,intertorular carina
HAO:0000440,5.5,4.0,1.5,intervalvula
HAO:0000441,6.0,4.0,1.5,intervolsellal muscle
HAO:0000442,6.5,4.0,1.5,intrinsic muscle of the 9th sternum
HAO:0000443,0.5,4.5,1.5,intrinsic muscle of the gonostipes
HAO:0000444,1.0,4.5,1.5,intrinsic palpal muscle
HAO:0000445,1.5,4.5,1.5,jugal region
HAO:0000446,2.0,4.5,1.5,juxtantennal carina
HAO:0000447,2.5,4.5,1.5,kleisiades
HAO:0000448,3.0,4.5,1.5,labial endite
HAO:0000449,3.5,4.5,1.5,labial gland
HAO:0000450,4.0,4.5,1.5,labial palp
HAO:0000451,4.5,4.5,1.5,labial suture
HAO:0000452,5.0,4.5,1.5,labiomaxillary complex
HAO:0000453,5.5,4.5,1.5,labium
HAO:0000454,6.0,4.5,1.5,labral compressor
HAO:0000455,6.5,4.5,1.5,labral seta
HAO:0000456,0.5,5.0,1.5,labrum
HAO:0000457,1.0,5.0,1.5,lacinial lobe
HAO:0000458,1.5,5.0,1.5,lamella
HAO:0000459,2.0,5.0,1.5,larva
HAO:0000460,2.5,5.0,1.5,larval abdomen
HAO:0000461,3.0,5.0,1.5,larval head
HAO:0000462,3.5,5.0,1.5,larval tagma
HAO:0000463,4.0,5.0,1.5,larval thorax
HAO:0000464,4.5,5.0,1.5,lateral S9-cupulal muscle
HAO:0000465,5.0,5.0,1.5,lateral apodeme
HAO:0000466,5.5,5.0,1.5,lateral area of the mesoscutum
HAO:0000467,6.0,5.0,1.5,lateral articular process
HAO:0000468,6.5,5.0,1.5,lateral axillar area
HAO:0000469,0.5,5.5,1.5,lateral bar of the mesoscutellum
HAO:0000470,1.0,5.5,1.5,lateral basisternal projection
HAO:0000471,1.5,5.5,1.5,lateral carina of abdominal tergite 3
HAO:0000472,2.0,5.5,1.5,lateral gonostyle/volsella complex-penisvalval muscle
HAO:0000473,2.5,5.5,1.5,median gonostyle/volsella complex-volsella muscle
HAO:0000474,3.0,5.5,1.5,lateral margin of mesoscutum
HAO:0000475,3.5,5.5,1.5,lateral mesofurcal arm
HAO:0000476,4.0,5.5,1.5,lateral mesofurco-mesotrochanteral muscle
HAO:0000477,4.5,5.5,1.5,lateral mesoscutellar spine
HAO:0000478,5.0,5.5,1.5,lateral metapleuro-metacoxal muscle
HAO:0000479,5.5,5.5,1.5,lateral neck plate
HAO:0000480,6.0,5.5,1.5,lateral ocellar line
HAO:0000481,6.5,5.5,1.5,lateral ocellus
HAO:0000482,0.5,6.0,1.5,lateral profurco-procoxal muscle
HAO:0000483,1.0,6.0,1.5,lateral pronotal area
HAO:0000484,1.5,6.0,1.5,lateral propleural area
HAO:0000485,2.0,6.0,1.5,lateral propodeal area
HAO:0000486,2.5,6.0,1.5,lateral propodeal carina
HAO:0000487,3.0,6.0,1.5,lateral scutellar keel
HAO:0000488,3.5,6.0,1.5,lateral scutellar pit
HAO:0000489,4.0,6.0,1.5,lateral suspensor of the mouth
HAO:0000490,4.5,6.0,1.5,laterocervico-procoxal muscle
HAO:0000491,5.0,6.0,1.5,laterope
HAO:0000492,5.5,6.0,1.5,laterophragma
HAO:0000493,6.0,6.0,1.5,laterotergite
HAO:0000494,6.5,6.0,1.5,leg
HAO:0000495,0.5,6.5,1.5,leg segment
HAO:0000496,1.0,6.5,1.5,ligula
HAO:0000497,1.5,6.5,1.5,longitudinal carina of the propleuron
HAO:0000498,2.0,6.5,1.5,longitudinal line of the dorsal profurcal lamella
HAO:0000499,2.5,6.5,1.5,longitudinal metacoxal carina
