ID,X,Y,Z,Label,Placed
HAO:0000040,-21.5234,29.52,1.846602, acellular anatomical structure,False
HAO:0000041,-20.46274,29.52,2.907262, anatomical cluster,False
HAO:0000042,-19.40208,29.52,3.967922, extraembryonic structure,False
HAO:0000043,-18.34142,29.52,5.028582, portion of tissue,False
HAO:0000044,-17.28076,29.52,6.089242, abdominal sternum 7,False
HAO:0000045,-16.2201,29.52,7.149903, sequential hermaphroditic organism,False
HAO:0000046,-15.15944,29.52,8.210563, synchronous hermaphroditic organism,False
HAO:0000047,-14.09878,29.52,9.271223, abdominal sternum 9,False
HAO:0000048,-13.03812,29.52,10.33188, gonochoristic organism,False
HAO:0000049,-11.97746,29.52,11.39254, protandrous hermaphroditic organism,False
HAO:0000050,-10.9168,29.52,12.4532, protogynous hermaphroditic organism,False
HAO:0000051,-9.856136,29.52,13.51386, abdominal tergum 1,False
HAO:0000052,-8.795476,29.52,14.57452, abdominal tergum 10,False
HAO:0000053,-7.734816,29.52,15.63518, abdominal tergum 2,False
HAO:0000054,-6.674156,29.52,16.69584, anatomical group,False
HAO:0000055,-5.613496,29.52,17.7565, multi-tissue structure,False
HAO:0000056,-4.552836,29.52,18.81716, abdominal tergum 3,False
HAO:0000057,-3.492175,29.52,19.87782, abdominal tergum 4,False
HAO:0000058,-2.431515,29.52,20.93848, abdominal tergum 5,False
HAO:0000059,-1.370855,29.52,21.99915, abdominal tergum 6,False
HAO:0000060,-32.13,28.02,-8.76, abdominal tergum 7,False
HAO:0000061,-31.06934,28.02,-7.69934, abdominal tergum 8,False
HAO:0000062,-30.00868,28.02,-6.63868, cell space,False
HAO:0000063,-28.94802,28.02,-5.578019, portion of cell substance,False
HAO:0000064,-27.88736,28.02,-4.517359, single cell organism,False
HAO:0000065,-26.8267,28.02,-3.456699, basal lamina,False
HAO:0000066,-25.76604,28.02,-2.396039, epithelium,False
HAO:0000067,-24.70538,28.02,-1.335379, simple cuboidal epithelium,False
HAO:0000068,-23.64472,28.02,-0.274719, simple columnar epithelium,False
HAO:0000069,-22.58406,28.02,0.785942, multilaminar epithelium,False
HAO:0000070,-21.5234,28.02,1.846602, simple squamous epithelium,False
HAO:0000071,-20.46274,28.02,2.907262, atypical epithelium,False
HAO:0000072,-19.40208,28.02,3.967922, cavitated compound organ,False
HAO:0000073,-18.34142,28.02,5.028582, unilaminar epithelium,False
HAO:0000074,-17.28076,28.02,6.089242, solid compound organ,False
HAO:0000075,-16.2201,28.02,7.149903, T9,False
HAO:0000076,-15.15944,28.02,8.210563, abscissa,False
HAO:0000077,-14.09878,28.02,9.271223, epithelial cell,False
HAO:0000078,-13.03812,28.02,10.33188, accessory gland,False
HAO:0000079,-11.97746,28.02,11.39254, accessory ventral condyle,False
HAO:0000080,-10.9168,28.02,12.4532, acetabular carina,False
HAO:0000081,-9.856136,28.02,13.51386, acetabular groove,False
HAO:0000082,-8.795476,28.02,14.57452, acetabulum,False
HAO:0000083,-7.734816,28.02,15.63518, acropleural apodeme,False
HAO:0000084,-6.674156,28.02,16.69584, acropleural sulcus,False
HAO:0000085,-5.613496,28.02,17.7565, acrosternite,False
HAO:0000086,-4.552836,28.02,18.81716, aculea,False
HAO:0000087,-3.492175,28.02,19.87782, adult,False
HAO:0000088,-2.431515,28.02,20.93848, adult abdomen,False
HAO:0000089,-1.370855,28.02,21.99915, adult tagma,False
HAO:0000090,-32.13,26.52,-8.76, adult thorax,False
HAO:0000091,-31.06934,26.52,-7.69934, aedeagus,False
HAO:0000092,-30.00868,26.52,-6.63868, alinotum,False
HAO:0000093,-28.94802,26.52,-5.578019, anal vein,False
HAO:0000094,-27.88736,26.52,-4.517359, anepisternum,False
HAO:0000095,-26.8267,26.52,-3.456699, annellus,False
HAO:0000096,-25.76604,26.52,-2.396039, annulus,False
HAO:0000097,-24.70538,26.52,-1.335379, anteclypeus,False
HAO:0000098,-23.64472,26.52,-0.274719, antecosta,False
HAO:0000099,-22.58406,26.52,0.785942, antecostal sulcus,False
HAO:0000100,-21.5234,26.52,1.846602, antemedian mesonotal wing process,False
HAO:0000101,-20.46274,26.52,2.907262, antenna,False
HAO:0000102,-19.40208,26.52,3.967922, antenna cleaner,False
HAO:0000103,-18.34142,26.52,5.028582, antennal rim,False
HAO:0000104,-17.28076,26.52,6.089242, antennal segment,False
HAO:0000105,-16.2201,26.52,7.149903, antennal shelf,False
HAO:0000106,-15.15944,26.52,8.210563, antennal suture,False
HAO:0000107,-14.09878,26.52,9.271223, antennomere,False
HAO:0000108,-13.03812,26.52,10.33188, posterior cranio-mandibular muscle,False
HAO:0000109,-11.97746,26.52,11.39254, frontal carina,False
HAO:0000110,-10.9168,26.52,12.4532, anterior extension of mesofurca,False
HAO:0000111,-9.856136,26.52,13.51386, anterior extension of the preaxilla,False
HAO:0000112,-8.795476,26.52,14.57452, anterior glossal sclerite,False
HAO:0000113,-7.734816,26.52,15.63518, anterior labral retractor,False
HAO:0000114,-6.674156,26.52,16.69584, anterior margin of the speculum,False
HAO:0000115,-5.613496,26.52,17.7565, anterior mesofurco-mesolaterophragmal muscle,False
HAO:0000116,-4.552836,26.52,18.81716, anterior mesopleural area,False
HAO:0000117,-3.492175,26.52,19.87782, anterior mesopleural sulcus,False
HAO:0000118,-2.431515,26.52,20.93848, anterior mesopleuro-mesofurcal muscle,False
HAO:0000119,-1.370855,26.52,21.99915, anterior mesopleuro-third axillary sclerite of fore wing muscle,False
HAO:0000120,-32.13,25.02,-8.76, anterior notal wing process,False
HAO:0000121,-31.06934,25.02,-7.69934, anterior process of the mesofurcal bridge,False
HAO:0000122,-30.00868,25.02,-6.63868, anterior process of the pronotum,False
HAO:0000123,-28.94802,25.02,-5.578019, anterior process of the prosternum,False
HAO:0000124,-27.88736,25.02,-4.517359, anterior profurcal lamella,False
HAO:0000125,-26.8267,25.02,-3.456699, anterior rim of pronotum,False
HAO:0000126,-25.76604,25.02,-2.396039, anterior tentorial pit,False
HAO:0000127,-24.70538,25.02,-1.335379, antero-dorsal incision of mesopleuron,False
HAO:0000128,-23.64472,25.02,-0.274719, anteroadmedian line,False
HAO:0000129,-22.58406,25.02,0.785942, anterolateral depression of the petiole,False
HAO:0000130,-21.5234,25.02,1.846602, anterolateral mesoscutal corner,False
HAO:0000131,-20.46274,25.02,2.907262, anteromedian pronotal ridge,False
HAO:0000132,-19.40208,25.02,3.967922, anteroventral pronotal inflection,False
HAO:0000133,-18.34142,25.02,5.028582, antescutal depression,False
HAO:0000134,-17.28076,25.02,6.089242, apex gonostipitis,False
HAO:0000135,-16.2201,25.02,7.149903, apex of the calcar,False
HAO:0000136,-15.15944,25.02,8.210563, apical clavomere ventral pit,False
HAO:0000137,-14.09878,25.02,9.271223, apical flagellomere,False
HAO:0000138,-13.03812,25.02,10.33188, apical parossiculal seta,False
HAO:0000139,-11.97746,25.02,11.39254, apical process of the labrum,False
HAO:0000140,-10.9168,25.02,12.4532, apical row of spines,False
HAO:0000141,-9.856136,25.02,13.51386, apiceps,False
HAO:0000142,-8.795476,25.02,14.57452, apodeme,False
HAO:0000143,-7.734816,25.02,15.63518, apophysis,False
HAO:0000144,-6.674156,25.02,16.69584, appendage,False
HAO:0000145,-5.613496,25.02,17.7565, appendage segment,False
HAO:0000146,-4.552836,25.02,18.81716, area,False
HAO:0000147,-3.492175,25.02,19.87782, areolet,False
HAO:0000148,-2.431515,25.02,20.93848, arolium,False
HAO:0000149,-1.370855,25.02,21.99915, articular line,False
HAO:0000150,-32.13,23.52,-8.76, articular process,False
HAO:0000151,-31.06934,23.52,-7.69934, articulation,False
HAO:0000152,-30.00868,23.52,-6.63868, aulax,False
HAO:0000153,-28.94802,23.52,-5.578019, auxilia,False
HAO:0000154,-27.88736,23.52,-4.517359, auxiliar sclerite,False
HAO:0000155,-26.8267,23.52,-3.456699, axilla,False
HAO:0000156,-25.76604,23.52,-2.396039, axillar carina,False
HAO:0000157,-24.70538,23.52,-1.335379, axillary cord,False
HAO:0000158,-23.64472,23.52,-0.274719, axillary region,False
HAO:0000159,-22.58406,23.52,0.785942, axillary sclerite,False
HAO:0000160,-21.5234,23.52,1.846602, axillula,False
HAO:0000161,-20.46274,23.52,2.907262, axillular carina,False
HAO:0000162,-19.40208,23.52,3.967922, axillular setae,False
HAO:0000163,-18.34142,23.52,5.028582, band,False
HAO:0000164,-17.28076,23.52,6.089242, bar,False
HAO:0000165,-16.2201,23.52,7.149903, basal bridge,False
HAO:0000166,-15.15944,23.52,8.210563, basal grooves,False
HAO:0000167,-14.09878,23.52,9.271223, basal hooklets,False
HAO:0000168,-13.03812,23.52,10.33188, gonostipes/volsella complex,False
HAO:0000169,-11.97746,23.52,11.39254, basal transverse carina of third abdominal tergite,False
HAO:0000170,-10.9168,23.52,12.4532, basal vein,False
HAO:0000171,-9.856136,23.52,13.51386, basalare,False
HAO:0000172,-8.795476,23.52,14.57452, basiconic capitate peg sensillum,False
HAO:0000173,-7.734816,23.52,15.63518, basicosta,False
HAO:0000174,-6.674156,23.52,16.69584, basicostal suture,False
HAO:0000175,-5.613496,23.52,17.7565, basicoxite,False
HAO:0000176,-4.552836,23.52,18.81716, basisternum,False
HAO:0000177,-3.492175,23.52,19.87782, basitarsal notch,False
HAO:0000178,-2.431515,23.52,20.93848, basitarsus,False
HAO:0000179,-1.370855,23.52,21.99915, basiura,False
HAO:0000180,-32.13,22.02,-8.76, basivalvula,False
HAO:0000181,-31.06934,22.02,-7.69934, blade,False
HAO:0000182,-30.00868,22.02,-6.63868, body,False
HAO:0000183,-28.94802,22.02,-5.578019, body segment,False
HAO:0000184,-27.88736,22.02,-4.517359, bulla,False
HAO:0000185,-26.8267,22.02,-3.456699, calcar,False
HAO:0000186,-25.76604,22.02,-2.396039, calyx,False
HAO:0000187,-24.70538,22.02,-1.335379, cardo,False
HAO:0000188,-23.64472,22.02,-0.274719, carina,False
HAO:0000189,-22.58406,22.02,0.785942, cenchrus,False
HAO:0000191,-21.5234,22.02,1.846602, cercus,False
HAO:0000192,-20.46274,22.02,2.907262, cervical apodeme,False
HAO:0000193,-19.40208,22.02,3.967922, cervical prominence,False
HAO:0000194,-18.34142,22.02,5.028582, cervical pronotal area,False
HAO:0000195,-17.28076,22.02,6.089242, cervical sclerite,False
HAO:0000196,-16.2201,22.02,7.149903, cervix,False
HAO:0000197,-15.15944,22.02,8.210563, chaetobothria,False
HAO:0000198,-14.09878,22.02,9.271223, chalaza,False
HAO:0000199,-13.03812,22.02,10.33188, chamber of the metanotum,False
HAO:0000200,-11.97746,22.02,11.39254, cheek,False
HAO:0000201,-10.9168,22.02,12.4532, cibarium,False
HAO:0000202,-9.856136,22.02,13.51386, circumocular ridge,False
HAO:0000203,-8.795476,22.02,14.57452, clava,False
HAO:0000204,-7.734816,22.02,15.63518, claval fold,False
HAO:0000205,-6.674156,22.02,16.69584, claval lobe,False
HAO:0000206,-5.613496,22.02,17.7565, cleaning brush,False
HAO:0000207,-4.552836,22.02,18.81716, closed coxal cavity,False
HAO:0000208,-3.492175,22.02,19.87782, club,False
HAO:0000209,-2.431515,22.02,20.93848, ventral rim of clypeus,False
HAO:0000210,-1.370855,22.02,21.99915, clypeal process,False
HAO:0000211,-32.13,20.52,-8.76, clypeo-pleurostomal line,False
HAO:0000212,-31.06934,20.52,-7.69934, clypeus,False
HAO:0000213,-30.00868,20.52,-6.63868, coeloconic sensillum,False
HAO:0000214,-28.94802,20.52,-5.578019, colleterial gland,False
HAO:0000215,-27.88736,20.52,-4.517359, protibial comb,False
HAO:0000216,-26.8267,20.52,-3.456699, comb of the spur,False
HAO:0000217,-25.76604,20.52,-2.396039, compound eye,False
HAO:0000218,-24.70538,20.52,-1.335379, condylar carina of the mandible,False
HAO:0000219,-23.64472,20.52,-0.274719, condylar groove,False
HAO:0000220,-22.58406,20.52,0.785942, condyle,False
HAO:0000221,-21.5234,20.52,1.846602, conjunctiva,False
HAO:0000222,-20.46274,20.52,2.907262, corbicula,False
HAO:0000223,-19.40208,20.52,3.967922, corner,False
HAO:0000224,-18.34142,20.52,5.028582, coronal suture,False
HAO:0000225,-17.28076,20.52,6.089242, costa,False
HAO:0000226,-16.2201,20.52,7.149903, costal cell,False
HAO:0000227,-15.15944,20.52,8.210563, costal notch,False
HAO:0000228,-14.09878,20.52,9.271223, coxa,False
HAO:0000229,-13.03812,20.52,10.33188, coxal foramen,False
HAO:0000230,-11.97746,20.52,11.39254, coxal corium,False
HAO:0000231,-10.9168,20.52,12.4532, cranial condyle,False
HAO:0000232,-9.856136,20.52,13.51386, cranio-antennal muscle,False
HAO:0000233,-8.795476,20.52,14.57452, cranio-pharyngeal plate muscle,False
HAO:0000234,-7.734816,20.52,15.63518, cranium,False
HAO:0000235,-6.674156,20.52,16.69584, crest,False
HAO:0000236,-5.613496,20.52,17.7565, crossvein,False
HAO:0000237,-4.552836,20.52,18.81716, cubital vein,False
HAO:0000238,-3.492175,20.52,19.87782, cupula,False
HAO:0000239,-2.431515,20.52,20.93848, cuspis,False
HAO:0000240,-1.370855,20.52,21.99915, cuticle,False
HAO:0000241,-32.13,19.02,-8.76, depression,False
HAO:0000242,-31.06934,19.02,-7.69934, dicondylic joint,False
HAO:0000243,-30.00868,19.02,-6.63868, dilator muscle apodeme,False
HAO:0000244,-28.94802,19.02,-5.578019, discrimen,False
HAO:0000245,-27.88736,19.02,-4.517359, discrimenal lamella,False
HAO:0000246,-26.8267,19.02,-3.456699, apical gonostyle/volsella complex-harpal muscle,False
HAO:0000247,-25.76604,19.02,-2.396039, distal gonostipo-parossiculal muscle,False
HAO:0000248,-24.70538,19.02,-1.335379, distal tarsal plantula,False
HAO:0000249,-23.45098,18.73526,0.189855, distivolsellar apodeme,False
HAO:0000250,-22.58406,19.02,0.785942, distodorsal gonostyle/volsella complex-penisvalval muscle,False
HAO:0000251,51.45,-4.35,-13.15, distoventral gonostyle/volsella complex-penisvalval muscle,True
HAO:0000252,-20.46274,19.02,2.907262, dorsal axillar area,False
HAO:0000253,-19.40208,19.02,3.967922, dorsal cibarial dilatator muscle,False
HAO:0000254,-18.34142,19.02,5.028582, dorsal incision of the pronotum,False
HAO:0000255,-17.28076,19.02,6.089242, dorsal mesofurco-profurcal muscle,False
HAO:0000256,-16.2201,19.02,7.149903, dorsal mesometapleural carina,False
HAO:0000257,-15.15944,19.02,8.210563, dorsal mesopleural inflection,False
HAO:0000258,-14.09878,19.02,9.271223, dorsal mesopostnotal flange,False
HAO:0000259,-13.03812,19.02,10.33188, dorsal mesopostnotal incision,False
HAO:0000260,-11.97746,19.02,11.39254, dorsal metafurcal lamella,False
HAO:0000261,-10.9168,19.02,12.4532, dorsal metapleural area,False
HAO:0000262,-9.856136,19.02,13.51386, dorsal pharyngeal dilatator,False
HAO:0000263,-8.795476,19.02,14.57452, dorsal plate,False
HAO:0000264,-7.734816,19.02,15.63518, dorsal premental adductor,False
HAO:0000265,-6.674156,19.02,16.69584, dorsal profurcal lamella,False
HAO:0000266,-5.613496,19.02,17.7565, dorsal profurco-postoccipital muscle,False
HAO:0000267,-4.552836,19.02,18.81716, dorsal pronotal area,False
HAO:0000268,-3.492175,19.02,19.87782, dorsal pronotal corner,False
HAO:0000269,-2.431515,19.02,20.93848, dorsal pronotal inflection,False
HAO:0000270,-1.370855,19.02,21.99915, dorsal propleural area,False
HAO:0000271,-32.13,17.52,-8.76, dorsal propleural ridge,False
HAO:0000272,-31.06934,17.52,-7.69934, dorsal propodeal inflection,False
HAO:0000273,-30.00868,17.52,-6.63868, dorsal rod,False
HAO:0000274,-28.94802,17.52,-5.578019, dorsal premento-salivarial muscle,False
HAO:0000275,-27.88736,17.52,-4.517359, dorsal tentorial arm,False
HAO:0000276,-26.8267,17.52,-3.456699, dorsal tooth of mandible,False
HAO:0000277,-25.76604,17.52,-2.396039, dorso-pleural line,False
HAO:0000278,-24.70538,17.52,-1.335379, dorsolateral cupulo-gonostyle/volsella complex muscle,False
HAO:0000279,-23.64472,17.52,-0.274719, dorsomedial cupulo-gonostyle/volsella complex muscle,False
HAO:0000280,-22.58406,17.52,0.785942, dorsope,False
HAO:0000281,-21.5234,17.52,1.846602, dorsum,False
HAO:0000282,-20.46274,17.52,2.907262, duct,False
HAO:0000283,-19.40208,17.52,3.967922, ductus ejaculatorius,False
HAO:0000284,-18.34142,17.52,5.028582, ectophallus,False
HAO:0000285,-17.28076,17.52,6.089242, edge,False
HAO:0000286,-16.2201,17.52,7.149903, egg,False
HAO:0000287,-15.15944,17.52,8.210563, anellus,False
HAO:0000288,-14.09878,17.52,9.271223, empodium,False
HAO:0000289,-13.03812,17.52,10.33188, encircling groove,False
HAO:0000290,-11.97746,17.52,11.39254, endocuticle,False
HAO:0000291,-10.9168,17.52,12.4532, endophallus,False
HAO:0000292,-9.856136,17.52,13.51386, epicnemial carina,False
HAO:0000293,-8.795476,17.52,14.57452, epicnemial pit,False
HAO:0000294,-7.734816,17.52,15.63518, epicnemium,False
HAO:0000295,-6.674156,17.52,16.69584, epicoxal lobe,False
HAO:0000296,-5.613496,17.52,17.7565, epicoxal sulcus,False
HAO:0000297,-4.552836,17.52,18.81716, epicranial suture,False
HAO:0000298,-3.492175,17.52,19.87782, epidermis,False
HAO:0000299,-2.431515,17.52,20.93848, epimeron,False
HAO:0000300,-1.370855,17.52,21.99915, epipharyngeal wall,False
HAO:0000301,-32.13,16.02,-8.76, epipharynx,False
HAO:0000302,-31.06934,16.02,-7.69934, epipygium,False
HAO:0000303,-30.00868,16.02,-6.63868, episternum,False
HAO:0000304,-28.94802,16.02,-5.578019, epistomal declivity,False
HAO:0000305,-27.88736,16.02,-4.517359, epistomal ridge,False
HAO:0000306,-26.8267,16.02,-3.456699, epistomal sulcus,False
HAO:0000307,-25.76604,16.02,-2.396039, epomial carina,False
HAO:0000308,-24.70538,16.02,-1.335379, ergot,False
HAO:0000309,-23.64472,16.02,-0.274719, eusternum,False
HAO:0000310,-22.58406,16.02,0.785942, evaporatorium,False
HAO:0000311,-21.5234,16.02,1.846602, exocuticle,False
HAO:0000312,-20.46274,16.02,2.907262, external male genitalia,False
HAO:0000313,-19.40208,16.02,3.967922, external paramera,False
HAO:0000314,-18.34142,16.02,5.028582, premento-palpal muscle,False
HAO:0000315,-17.28076,16.02,6.089242, exuvia,False
HAO:0000316,-16.2201,16.02,7.149903, face,False
HAO:0000317,-15.15944,16.02,8.210563, facial fovea,False
HAO:0000318,-14.09878,16.02,9.271223, facial orbit,False
HAO:0000319,-13.03812,16.02,10.33188, facial pit,False
HAO:0000320,-11.97746,16.02,11.39254, facial sulcus,False
HAO:0000321,-10.9168,16.02,12.4532, fascia,False
HAO:0000322,-9.856136,16.02,13.51386, felt field,False
HAO:0000323,-8.795476,16.02,14.57452, felt line,False
HAO:0000324,-7.734816,16.02,15.63518, female genitalia,False
HAO:0000325,-6.674156,16.02,16.69584, femoral depression,False
HAO:0000326,-5.613496,16.02,17.7565, femoral groove,False
HAO:0000327,-4.552836,16.02,18.81716, femur,False
HAO:0000328,-3.492175,16.02,19.87782, fibula ducti,False
HAO:0000329,-2.431515,16.02,20.93848, first abdominal spiracle,False
HAO:0000330,-1.370855,16.02,21.99915, first axillary sclerite,False
HAO:0000331,-32.13,14.52,-8.76, first median plate,False
HAO:0000332,-31.06934,14.52,-7.69934, first mesopleuro-mesonotal muscle,False
HAO:0000333,-30.00868,14.52,-6.63868, first phragmo-postoccipital muscle,False
HAO:0000334,-28.94802,14.52,-5.578019, first phragmo-propleural muscle,False
HAO:0000335,-27.88736,14.52,-4.517359, first phragmo-second phragmal muscle,False
HAO:0000336,-26.8267,14.52,-3.456699, distal gonostyle/volsella complex-harpal muscle,False
HAO:0000337,-25.76604,14.52,-2.396039, first subdiscal,False
HAO:0000338,-24.70538,14.52,-1.335379, first valvifer,False
HAO:0000339,-23.64472,14.52,-0.274719, first valvula,False
HAO:0000340,-22.58406,14.52,0.785942, fissure,False
HAO:0000341,-21.5234,14.52,1.846602, flabellum,False
HAO:0000342,-20.46274,14.52,2.907262, flagellomere,False
HAO:0000343,-19.40208,14.52,3.967922, flagellum,False
HAO:0000344,-18.34142,14.52,5.028582, flange,False
HAO:0000345,-17.28076,14.52,6.089242, foramen,False
HAO:0000346,-16.2201,14.52,7.149903, foramen genitale,False
HAO:0000347,-15.15944,14.52,8.210563, occipital foramen,False
HAO:0000348,-14.09878,14.52,9.271223, fore coxa,False
HAO:0000349,-13.03812,14.52,10.33188, fore leg,False
HAO:0000350,-11.97746,14.52,11.39254, fore tibia,False
HAO:0000351,-10.9168,14.52,12.4532, fore wing,False
HAO:0000352,-9.856136,14.52,13.51386, forewing,False
HAO:0000353,-8.795476,14.52,14.57452, fossa,False
HAO:0000354,-7.734816,14.52,15.63518, frenal line,False
HAO:0000355,-6.674156,14.52,16.69584, frenum,False
HAO:0000356,-5.613496,14.52,17.7565, frontal line,False
HAO:0000357,-4.552836,14.52,18.81716, frontal orbit,False
HAO:0000358,-3.492175,14.52,19.87782, frontal patch,False
HAO:0000359,-2.431515,14.52,20.93848, frontal scrobe,False
HAO:0000360,-1.370855,14.52,21.99915, frontal suture,False
HAO:0000361,-32.13,13.02,-8.76, functional mouth,False
HAO:0000362,-31.06934,13.02,-7.69934, funicle,False
HAO:0000363,-30.00868,13.02,-6.63868, funicle segment,False
HAO:0000364,-28.94802,13.02,-5.578019, furca,False
HAO:0000365,-27.88736,13.02,-4.517359, furcal arm,False
HAO:0000366,-26.8267,13.02,-3.456699, furcal pit,False
HAO:0000367,-25.76604,13.02,-2.396039, furcasternum,False
HAO:0000368,-24.70538,13.02,-1.335379, galea,False
HAO:0000369,-23.64472,13.02,-0.274719, gaster,False
HAO:0000370,-22.58406,13.02,0.785942, gastrocoelus,False
HAO:0000371,-21.5234,13.02,1.846602, gena,False
HAO:0000372,-20.46274,13.02,2.907262, genal bridge,False
HAO:0000373,-19.40208,13.02,3.967922, genal patch,False
HAO:0000374,-18.34142,13.02,5.028582, genitalia,False
HAO:0000375,-17.28076,13.02,6.089242, gland,False
HAO:0000376,-16.2201,13.02,7.149903, glossa,False
HAO:0000377,-15.15944,13.02,8.210563, premento-glossal muscle,False
HAO:0000378,-14.09878,13.02,9.271223, glymma,False
HAO:0000379,-13.03812,13.02,10.33188, gonad,False
HAO:0000380,-11.97746,13.02,11.39254, gonocondyle,False
HAO:0000381,-10.9168,13.02,12.4532, gonoforceps,False
HAO:0000382,-9.856136,13.02,13.51386, gonomacula,False
HAO:0000383,-8.795476,13.02,14.57452, gonopod,False
HAO:0000384,-7.734816,13.02,15.63518, gonossiculo-phallotremal muscle,False
HAO:0000385,-6.674156,13.02,16.69584, gonossiculus,False
HAO:0000386,-5.613496,13.02,17.7565, gonostipes,False
HAO:0000387,-4.552836,13.02,18.81716, gonostipital arm,False
HAO:0000388,-3.492175,13.02,19.87782, gonostipo-volsellal muscle,False
HAO:0000389,-2.431515,13.02,20.93848, gonostyle,False
HAO:0000390,-1.370855,13.02,21.99915, gradulus,False
HAO:0000391,-32.13,11.52,-8.76, gula,False
HAO:0000392,-31.06934,11.52,-7.69934, gular ridge,False
HAO:0000393,-30.00868,11.52,-6.63868, gular sulcus,False
HAO:0000394,-28.94802,11.52,-5.578019, hamulus,False
HAO:0000395,-27.88736,11.52,-4.517359, harpe,False
HAO:0000396,-26.8267,11.52,-3.456699, harpo-gonomaculal muscle,False
HAO:0000397,0.3212736,3.26597,8.065846, head,False
HAO:0000398,-24.70538,11.52,-1.335379, head capsule,False
HAO:0000399,-23.64472,11.52,-0.274719, hind leg,False
HAO:0000400,-22.58406,11.52,0.785942, hind wing,False
HAO:0000401,-21.5234,11.52,1.846602, hindwing,False
HAO:0000402,-20.46274,11.52,2.907262, median complex,False
HAO:0000403,-19.40208,11.52,3.967922, humeral plate,False
HAO:0000404,-18.34142,11.52,5.028582, humeral sclerite of the metanotum,False
HAO:0000405,-17.28076,11.52,6.089242, hymenopteran,False
HAO:0000406,-16.2201,11.52,7.149903, hyperoccipital carina,False
HAO:0000407,-15.15944,11.52,8.210563, hypoclypeal depression,False
HAO:0000408,-14.09878,11.52,9.271223, hypopharyngeal rod,False
HAO:0000409,-13.03812,11.52,10.33188, hypopharynx,False
HAO:0000410,-11.97746,11.52,11.39254, hypopygium,False
HAO:0000411,-10.9168,11.52,12.4532, hypostoma,False
HAO:0000412,-9.856136,11.52,13.51386, hypostomal bridge,False
HAO:0000413,-8.795476,11.52,14.57452, hypostomal carina,False
HAO:0000414,-7.734816,11.52,15.63518, hypostomal sulcus,False
HAO:0000415,-6.674156,11.52,16.69584, hypostomal suture,False
HAO:0000416,48.95,-1.85,4.35, hypostomal tooth,True
HAO:0000417,-4.552836,11.52,18.81716, impression,False
HAO:0000418,-3.492175,11.52,19.87782, inflection,False
HAO:0000419,-2.431515,11.52,20.93848, inner orbit,False
HAO:0000420,-1.370855,11.52,21.99915, integrated tarsal plantula,False
HAO:0000421,-32.13,10.02,-8.76, integument,False
HAO:0000422,-31.06934,10.02,-7.69934, interantennal process,False
HAO:0000423,-31.06934,10.02,-7.69934, interantennal process,False
